T, Cp, H, S
300, 20.7861495, 6235.84485, 11.5262887365
350, 20.7861495, 7275.152325, 11.5262887365
400, 20.7861495, 8314.4598, 11.5262887365
450, 20.7861495, 9353.767275, 11.5262887365
500, 20.7861495, 10393.07475, 11.5262887365
550, 20.7861495, 11432.382225, 11.5262887365
600, 20.7861495, 12471.6897, 11.5262887365
650, 20.7861495, 13510.997175, 11.5262887365
700, 20.7861495, 14550.30465, 11.5262887365
750, 20.7861495, 15589.612125, 11.5262887365
800, 20.7861495, 16628.9196, 11.5262887365
850, 20.7861495, 17668.227075, 11.5262887365
900, 20.7861495, 18707.53455, 11.5262887365
950, 20.7861495, 19746.842025, 11.5262887365
1000, 20.7861495, 20786.1495, 11.5262887365
1050, 20.7861495, 21825.456975, 11.5262887365
1100, 20.7861495, 22864.76445, 11.5262887365
1150, 20.7861495001, 23904.071925, 11.5262887365
1200, 20.7861495002, 24943.3794, 11.5262887365
1250, 20.7861495008, 25982.686875, 11.5262887365
1300, 20.7861495024, 27021.99435, 11.5262887366
1350, 20.7861495066, 28061.301825, 11.5262887367
1400, 20.7861495169, 29100.6093, 11.5262887371
1450, 20.7861495408, 30139.916775, 11.5262887381
1500, 20.7861495926, 31179.22425, 11.5262887402
1550, 20.7861496988, 32218.531725, 11.5262887448
1600, 20.7861499062, 33257.8392, 11.526288754
1650, 20.7861502932, 34297.1466751, 11.5262887719
1700, 20.7861509865, 35336.4541501, 11.5262888049
1750, 20.7861521831, 36375.7616252, 11.5262888637
1800, 20.7861541792, 37415.0691004, 11.526288965
1850, 20.7861574068, 38454.3765758, 11.5262891338
1900, 20.7861624783, 39493.6840513, 11.526289407
1950, 20.7861702402, 40532.9915271, 11.5262898376
2000, 20.7861818351, 41572.2990034, 11.5262904993
2050, 20.786198772, 42611.6064802, 11.5262914932
2100, 20.7862230042, 43650.913958, 11.5262929544
2150, 20.7862570143, 44690.221437, 11.5262950606
2200, 20.7863039034, 45729.5289176, 11.5262980411
2250, 20.7863674846, 46768.8364004, 11.5263021875
2300, 20.7864523775, 47808.1438861, 11.5263078643
2350, 20.7865641025, 48847.4513755, 11.5263155215
